Course,Area,Topic,In_Level_1,In_Level_2,In_Level_3,In_Level_4,Reoccurs
Entrepreneurship,Area8,"provision, green, near, clean, student",0,0,0,0,0
Entrepreneurship,Area8,"segregation, rest, disposal, waste, water",0,0,0,0,0
Entrepreneurship,Area8,"construct, board, building, purpose, classroom",0,0,0,0,0
Entrepreneurship,Area8,"store, cabinet, additional, teatro, room",0,0,0,0,0
Entrepreneurship,Area9,"equipment, room, laboratory, medicine, properly",0,0,0,0,0
Entrepreneurship,Area9,"refurbishment, university, equipment, make, laboratory",0,0,0,0,0
Entrepreneurship,Area9,"file, likewise, laboratory, properly, document",0,0,0,0,0
Entrepreneurship,Area9,"condition, certain, work, equipment, laboratory",0,0,0,0,0
Entrepreneurship,Area9,"base, student, additional, room, provide",0,0,0,0,0
EnvironmentScience,Area1,"short, mistake, adequate, thorough, vmgos",0,0,0,0,0
EnvironmentScience,Area1,"short, mistake, adequate, thorough, vmgos",0,0,0,0,0
EnvironmentScience,Area1,"introductory, discussion, incorporate, vmgos, course",0,0,0,0,0
EnvironmentScience,Area1,"nonenglish, enable, thorough, vmgos, include",0,0,0,0,0
EnvironmentScience,Area1,"possible, cover, stakeholder, study, concerned",0,0,0,0,0
EnvironmentScience,Area10,"function, define, state, clearly, head",0,0,0,0,0
EnvironmentScience,Area10,"involve, especially, college, activity, faculty",0,0,0,0,0
EnvironmentScience,Area10,"channel, training, correct, personnel, implementation",0,0,0,0,0
EnvironmentScience,Area10,"strengthen, administration, work, development, plan",0,0,0,0,0
EnvironmentScience,Area10,"implementation, update, regular, plan, development",0,0,0,0,0
EnvironmentScience,Area2,"professional, update, hour, encourage, faculty",0,0,0,0,0
EnvironmentScience,Area2,"faculty, various, college, encourage, graduate",0,0,0,0,0
EnvironmentScience,Area2,"load, teach, class, schedule, faculty",0,0,0,0,0
EnvironmentScience,Area2,"evaluation, facultyrelated, planning, document, activity",0,0,0,0,0
EnvironmentScience,Area2,"various, college, come, encourage, faculty",0,0,0,0,0
EnvironmentScience,Area3,"learn, collaborative, academic, instructional, material",0,0,0,0,0
EnvironmentScience,Area3,"consultation, material, instructional, committee, association",0,0,0,0,0
EnvironmentScience,Area3,"make, copy, allocate, budget, member",0,0,0,0,0
EnvironmentScience,Area3,"exist, cater, student, faculty, department",0,0,0,0,0
EnvironmentScience,Area3,"consultation, activity, material, instructional, member",0,0,0,0,0
EnvironmentScience,Area4,"space, office, ssd, service, student",0,0,0,0,0
EnvironmentScience,Area4,"possible, room, conducive, guidance, test",0,0,0,0,0
EnvironmentScience,Area4,"uniform, review, facilitate, follow, evaluation",0,0,0,0,0
EnvironmentScience,Area4,"information, dissemination, paper, revive, ca",0,0,0,0,0
EnvironmentScience,Area4,"nook, separate, provide, service, student",0,0,0,0,0
EnvironmentScience,Area5,"hire, additional, support, unit, research",0,0,0,0,0
EnvironmentScience,Area5,"linkaging, importance, recourse, external, activity",0,0,0,0,0
EnvironmentScience,Area5,"planning, invite, involve, formulation, research",0,0,0,0,0
EnvironmentScience,Area5,"revive, allocate, fund, handle, activity",0,0,0,0,0
EnvironmentScience,Area5,"conduct, basic, laboratory, upgrade, activity",0,0,0,0,0
EnvironmentScience,Area6,"need, monitoring, extension, program, activity",0,0,0,0,0
EnvironmentScience,Area6,"exhibit, evaluate, area, accreditation, document",0,0,0,0,0
EnvironmentScience,Area6,"achieve, period, activity, program, extension",0,0,0,0,0
EnvironmentScience,Area6,"planning, transfer, extension, program, activity",0,0,0,0,0
EnvironmentScience,Area6,"need, monitoring, extension, program, activity",0,0,0,0,0
EnvironmentScience,Area7,"additional, simple, library, student, staff",0,0,0,0,0
EnvironmentScience,Area7,"current, seminar, workshop, library, staff",0,0,0,0,0
EnvironmentScience,Area7,"additional, simple, library, student, staff",0,0,0,0,0
EnvironmentScience,Area7,"collegesuniversitys, adequate, quality, necessary, student",0,0,0,0,0
EnvironmentScience,Area7,"various, reading, effective, library, information",0,0,0,0,0
EnvironmentScience,Area8,"periodic, public, test, water, drinking",0,0,0,0,0
EnvironmentScience,Area8,"extinguisher, classroom, room, student, laboratory",0,0,0,0,0
EnvironmentScience,Area8,"easy, disaster, installation, properly, wiring",0,0,0,0,0
EnvironmentScience,Area8,"maintain, program, institution, university, building",0,0,0,0,0
EnvironmentScience,Area8,"availability, public, emergency, need, water",0,0,0,0,0
EnvironmentScience,Area9,"college, water, laboratory, exercise, conduct",0,0,0,0,0
EnvironmentScience,Area9,"acceptable, standard, conform, laboratory, room",0,0,0,0,0
EnvironmentScience,Area9,"measure, student, make, laboratory, room",0,0,0,0,0
EnvironmentScience,Area9,"disaster, extinguisher, laboratory, make, college",0,0,0,0,0
EnvironmentScience,Area9,"manual, teach, physic, student, laboratory",0,0,0,0,0
EnvironmentalScience,Area1,"influence, conduct, study, determine, make",1,0,0,0,0
EnvironmentalScience,Area1,"program, influence, conduct, study, determine",1,0,0,0,0
EnvironmentalScience,Area1,"influence, conduct, study, determine, make",1,0,0,0,0
EnvironmentalScience,Area1,"play, attractive, cartoon, retention, make",1,0,0,0,0
EnvironmentalScience,Area1,"activity, mmsus, workplace, mmsu, graduate",1,0,0,0,0
EnvironmentalScience,Area10,"attach, package, faculty, document, order",1,0,0,0,0
EnvironmentalScience,Area10,"team, recommends, budget, college, policy",1,0,0,0,0
EnvironmentalScience,Area10,"mmsu, harmonious, family, strengthen, activity",1,0,0,0,0
EnvironmentalScience,Area10,"longterm, shortand, development, evaluate, monitor",1,0,0,0,0
EnvironmentalScience,Area10,"faculty, college, specific, provide, budget",1,0,0,0,0
EnvironmentalScience,Area2,"member, relevant, faculty, encourage, class",1,0,0,0,0
EnvironmentalScience,Area2,"teach, work, encourage, activity, faculty",1,0,0,0,0
EnvironmentalScience,Area2,"method, laptop, purchase, effective, faculty",1,0,0,0,0
EnvironmentalScience,Area2,"member, relevant, faculty, encourage, class",1,0,0,0,0
EnvironmentalScience,Area2,"encourage, relevant, faculty, student, class",1,0,0,0,0
EnvironmentalScience,Area3,"website, encourage, obtain, development, plan",1,0,0,0,0
EnvironmentalScience,Area3,"material, instructional, properly, laboratory, encourage",1,0,0,0,0
EnvironmentalScience,Area3,"preserve, label, specimen, properly, laboratory",1,0,0,0,0
EnvironmentalScience,Area3,"sequence, logical, offering, prerequisite, subject",1,0,0,0,0
EnvironmentalScience,Area3,"ex, faculty, manual, instructional, material",1,0,0,0,0
EnvironmentalScience,Area4,"highly, need, student, label, properly",1,0,0,0,0
EnvironmentalScience,Area4,"date, properly, label, student, activity",1,0,0,0,0
EnvironmentalScience,Area4,"highly, need, student, label, properly",1,0,0,0,0
EnvironmentalScience,Area4,"designate, cater, member, student, need",1,0,0,0,0
EnvironmentalScience,Area4,"highly, need, student, label, properly",1,0,0,0,0
EnvironmentalScience,Area5,"member, faculty, research, college, encourage",1,0,0,0,0
EnvironmentalScience,Area5,"international, local, faculty, member, encourage",1,0,0,0,0
EnvironmentalScience,Area5,"conduct, development, plan, activity, research",1,0,0,0,0
EnvironmentalScience,Area5,"establish, college, encourage, research, generate",1,0,0,0,0
EnvironmentalScience,Area5,"particularly, make, college, faculty, research",1,0,0,0,0
EnvironmentalScience,Area6,"enhance, training, analysis, item, faculty",1,0,0,0,0
EnvironmentalScience,Area6,"acquire, utilization, document, record, properly",1,0,0,0,0
EnvironmentalScience,Area6,"document, provide, monitoring, program, extension",1,0,0,0,0
EnvironmentalScience,Area6,"examination, tos, require, item, analysis",1,0,0,0,0
EnvironmentalScience,Area6,"process, planning, participate, laboratory, student",1,0,0,0,0
EnvironmentalScience,Area7,"late, prepare, accomplishment, develop, library",1,0,0,0,0
EnvironmentalScience,Area7,"install, warrant, sectionsareas, learn, library",1,0,0,0,0
EnvironmentalScience,Area7,"online, offer, service, access, library",1,0,0,0,0
EnvironmentalScience,Area7,"acquisition, program, professional, resource, library",1,0,0,0,0
EnvironmentalScience,Area7,"late, prepare, accomplishment, develop, library",1,0,0,0,0
EnvironmentalScience,Area8,"landscape, open, suggest, space, functional",1,0,0,0,0
EnvironmentalScience,Area8,"regularannual, maintenance, person, building, facility",1,0,0,0,0
EnvironmentalScience,Area8,"campus, electrical, room, service, provide",1,0,0,0,0
EnvironmentalScience,Area8,"relax, building, construct, college, faculty",1,0,0,0,0
EnvironmentalScience,Area8,"way, old, provide, facility, inside",1,0,0,0,0
EnvironmentalScience,Area9,"thing, apply, principle, equipment, department",1,0,0,0,0
EnvironmentalScience,Area9,"additional, university, repair, warrant, place",1,0,0,0,0
EnvironmentalScience,Area9,"provide, encourage, chart, post, laboratory",1,0,0,0,0
EnvironmentalScience,Area9,"regular, warrant, post, department, equipment",1,0,0,0,0
EnvironmentalScience,Area9,"function, focus, faculty, technician, laboratory",1,0,0,0,0
Language,Area1,"conduct, area, wider, correct, vmgos",0,0,0,0,0
Language,Area1,"discussion, syllabus, integral, need, course",0,0,0,0,0
Language,Area1,"translation, version, llocano, print, correct",0,0,0,0,0
Language,Area1,"conduct, area, wider, correct, vmgos",0,0,0,0,0
Language,Area1,"mistake, edit, grammar, review, vmgos",0,0,0,0,0
Language,Area1,"revise, stakeholder, consult, process, consider",1,1,0,0,1
Language,Area1,"revise, stakeholder, consult, process, consider",1,1,0,0,1
Language,Area1,"ca, baes, possible, year, consider",1,1,0,0,1
Language,Area1,"revise, stakeholder, consult, process, consider",1,1,0,0,1
Language,Area1,"staff, student, faculty, revise, stakeholder",1,0,0,0,0
Language,Area1,"consider, college, art, program, objective",1,1,0,0,0
Language,Area1,"statement, program, objective, competency, graduate",0,1,0,0,0
Language,Area1,"statement, program, objective, competency, graduate",0,1,0,0,0
Language,Area1,"statement, program, objective, competency, graduate",0,1,0,0,0
Language,Area1,"intensive, abel, graduate, competency, communication",0,1,0,0,0
Language,Area10,"function, define, state, clearly, head",0,0,0,0,0
Language,Area10,"involve, especially, college, activity, faculty",1,1,0,0,1
Language,Area10,"channel, training, correct, personnel, implementation",1,0,0,0,1
Language,Area10,"strengthen, administration, work, development, plan",0,1,0,0,1
Language,Area10,"implementation, update, regular, plan, development",0,1,0,0,1
Language,Area10,"college, university, guideline, graduate, policy",1,0,0,0,0
Language,Area10,"immediate, code, manual, student, faculty",1,1,0,0,1
Language,Area10,"provide, training, relevant, inserving, college",1,0,0,0,0
Language,Area10,"consider, partnership, national, outsource, networking",1,1,0,0,1
Language,Area10,"senior, document, need, member, college",1,1,0,0,1
Language,Area10,"report, dissemination, annual, year, administration",0,1,0,0,0
Language,Area10,"regent, priority, approval, update, manual",1,1,0,0,0
Language,Area10,"procurement, preparation, active, student, faculty",1,1,0,0,0
Language,Area10,"person, base, legible, consider, document",1,1,0,0,0
Language,Area10,"year, consider, faculty, student, administration",1,1,0,0,0
Language,Area2,"easy, consultation, indicate, hour, teacher",0,0,0,0,0
Language,Area2,"graduate, load, teach, class, schedule",1,0,0,0,1
Language,Area2,"nbc, university, member, encourage, faculty",1,1,0,0,1
Language,Area2,"art, come, faculty, various, college",1,1,0,0,1
Language,Area2,"graduate, make, orderly, presentable, file",0,0,0,0,0
Language,Area2,"statement, activity, attend, faculty, member",1,1,0,0,1
Language,Area2,"encourage, research, college, member, faculty",1,1,0,0,1
Language,Area2,"faculty, properly, monitor, attendance, document",1,1,0,0,1
Language,Area2,"faculty, member, ict, teach, encourage",1,1,0,0,1
Language,Area2,"page, subject, year, semester, include",1,0,0,0,0
Language,Area2,"member, faculty, productionrelated, document, activity",1,1,0,0,0
Language,Area2,"member, faculty, productionrelated, document, activity",1,1,0,0,0
Language,Area2,"document, portfolio, motivate, prepare, individual",1,1,0,0,0
Language,Area2,"related, research, workload, member, faculty",1,1,0,0,0
Language,Area2,"member, faculty, productionrelated, document, activity",1,1,0,0,0
Language,Area3,"curriculumprogram, faculty, review, curriculum, participation",1,1,0,0,1
Language,Area3,"duly, encourage, utilized, instructional, material",1,1,0,0,1
Language,Area3,"conduct, study, tracer, impactrelevance, feedback",0,1,0,0,1
Language,Area3,"journal, faculty, review, teach, learn",1,1,0,0,1
Language,Area3,"classroom, picture, print, teach, learn",0,0,0,0,0
Language,Area3,"faculty, check, member, attendance, file",1,1,0,0,1
Language,Area3,"esl, instructional, evaluation, material, document",1,1,0,0,1
Language,Area3,"indicate, format, syllabus, year, present",1,1,0,0,1
Language,Area3,"ease, properly, document, material, file",1,1,0,0,1
Language,Area3,"graduate, decrease, field, consider, specialization",1,0,0,0,0
Language,Area3,"write, class, evaluation, observation, faculty",1,1,0,0,0
Language,Area3,"developed, instructional, activity, member, faculty",1,1,0,0,0
Language,Area3,"information, syllabus, student, grade, course",1,1,0,0,0
Language,Area3,"document, faculty, evaluation, program, conduct",1,1,0,0,0
Language,Area3,"conduct, program, different, provide, document",1,1,0,0,0
Language,Area4,"provide, student, organize, ptca, ca",1,1,0,0,1
Language,Area4,"student, guidance, office, provide, service",1,1,0,0,1
Language,Area4,"space, provision, allot, service, student",1,1,0,0,1
Language,Area4,"preparation, ssd, evaluation, student, facilitate",1,1,0,0,1
Language,Area4,"psychological, provide, ca, separate, test",0,0,0,0,0
Language,Area4,"support, information, dean, alumnus, student",1,1,0,0,1
Language,Area4,"student, dean, faculty, activity, project",1,1,0,0,1
Language,Area4,"employability, initiate, member, dean, faculty",1,0,0,0,0
Language,Area4,"easy, late, alumnus, university, order",1,1,0,0,1
Language,Area4,"annual, preparation, need, include, program",1,1,0,0,1
Language,Area4,"encourage, evaluation, improvement, program, regular",1,1,0,0,0
Language,Area4,"alumnus, arrange, involvement, activity, student",1,1,0,0,0
Language,Area4,"alumnus, arrange, involvement, activity, student",1,1,0,0,0
Language,Area4,"alumnus, arrange, involvement, activity, student",1,1,0,0,0
Language,Area4,"alumnus, arrange, involvement, activity, student",1,1,0,0,0
Language,Area5,"sustain, increase, faculty, activity, research",1,1,0,0,1
Language,Area5,"output, conduct, highly, recommend, research",1,1,0,0,1
Language,Area5,"output, highly, recommend, conduct, research",1,1,0,0,1
Language,Area5,"personally, college, forum, fund, include",1,1,0,0,1
Language,Area5,"survey, agency, establish, exchange, exist",0,0,0,0,0
Language,Area5,"research, complete, thesis, write, forum",1,1,0,0,1
Language,Area5,"present, not_only, research, complete, forum",1,1,0,0,1
Language,Area5,"research, complete, thesis, write, forum",1,1,0,0,1
Language,Area5,"research, complete, thesis, write, forum",1,1,0,0,1
Language,Area5,"conduct, seminar, member, faculty, research",1,1,0,0,1
Language,Area5,"university, instruction, conduct, make, research",1,1,0,0,0
Language,Area5,"new, fund, furniture, printer, lcd",0,1,0,0,0
Language,Area5,"result, suggest, teach, improvement, especially",0,1,0,0,0
Language,Area5,"not_necessary, not_include, not_have, batch, document",0,1,0,0,0
Language,Area5,"result, suggest, teach, improvement, especially",0,1,0,0,0
Language,Area6,"regular, evaluation, involve, program, document",1,1,0,0,1
Language,Area6,"regular, evaluation, involve, program, document",1,1,0,0,1
Language,Area6,"regular, evaluation, involve, program, document",1,1,0,0,1
Language,Area6,"technology, transfer, program, activity, extension",1,1,0,0,1
Language,Area6,"certain, implementation, sustain, achieve, document",0,0,0,0,0
Language,Area6,"help, activity, monitoring, evaluation, regular",1,1,0,0,1
Language,Area6,"provide, undertaken, program, activity, extension",1,1,0,0,1
Language,Area6,"sustainability, mobile, provide, extension, unit",1,1,0,0,1
Language,Area6,"devise, program, provide, activity, extension",1,1,0,0,1
Language,Area6,"devise, program, provide, activity, extension",1,1,0,0,1
Language,Area6,"sustainability, exist, encourage, mobile, activity",1,1,0,0,0
Language,Area6,"sustainability, exist, encourage, mobile, activity",1,1,0,0,0
Language,Area6,"assessment, extension, scheme, activity, evaluation",1,1,0,0,0
Language,Area6,"sustainability, exist, encourage, mobile, activity",1,1,0,0,0
Language,Area6,"determine, benefit, study, conduct, program",1,1,0,0,0
Language,Area7,"hire, assistant, student, staff, library",1,1,0,0,1
Language,Area7,"seminar, workshop, student, library, staff",1,1,0,0,1
Language,Area7,"develop, collegesuniversitys, adequate, quantity, necessary",1,0,0,0,1
Language,Area7,"seminar, workshop, student, library, staff",1,1,0,0,1
Language,Area7,"provide, promote, various, material, information",1,0,0,0,1
Language,Area7,"student, subject, faculty, bibliography, provide",1,0,0,0,0
Language,Area7,"instal, functional, alarm, make, suggest",1,0,0,0,0
Language,Area7,"manual, necessary, need, write, improve",1,1,0,0,1
Language,Area7,"data, present, utilization, resource, library",1,1,0,0,1
Language,Area7,"furniture, term, building, interior, recommend",1,0,0,0,0
Language,Area7,"committee, contains, manual, board, library",1,1,0,0,0
Language,Area7,"acquisition, library, update, professional, book",1,1,0,0,0
Language,Area7,"committee, library, book, english, language",1,1,0,0,0
Language,Area7,"user, online, able, english, language",0,1,0,0,0
Language,Area7,"committee, library, book, english, language",1,1,0,0,0
Language,Area8,"suggest, fund, pest, protect, building",1,1,0,0,1
Language,Area8,"instal, extinguisher, office, proper, properly",0,0,0,0,0
Language,Area8,"room, need, facility, wiring, student",1,1,0,0,1
Language,Area8,"test, water, inform, university, drinking",1,1,0,0,1
Language,Area8,"water, emergency, student, easy, laboratory",1,1,0,0,1
Language,Area8,"clean, near, building, classroom, water",1,1,0,0,1
Language,Area8,"construction, continue, walk, cover, building",1,1,0,0,1
Language,Area8,"listing, pictorial, communication, accomplishment, program",1,0,0,0,0
Language,Area8,"solution, suggest, clean, student, water",1,1,0,0,1
Language,Area8,"post, guide, water, near, classroom",1,1,0,0,1
Language,Area8,"facility, building, campus, area, university",1,1,0,0,0
Language,Area8,"men, consider, dormitory, room, dorm",0,1,0,0,0
Language,Area8,"constituent, water, consider, university, order",1,1,0,0,0
Language,Area8,"recommend, maintain, building, fan, orbit",1,1,0,0,0
Language,Area8,"furniture, dispose, store, nonserviceable, equipment",0,1,0,0,0
Language,Area9,"college, water, laboratory, exercise, conduct",1,1,0,0,1
Language,Area9,"acceptable, standard, conform, laboratory, room",1,1,0,0,1
Language,Area9,"measure, student, make, laboratory, room",1,1,0,0,1
Language,Area9,"disaster, extinguisher, laboratory, make, college",1,1,0,0,1
Language,Area9,"manual, teach, physic, student, laboratory",1,1,0,0,1
Language,Area9,"picture, clear, photocopy, make, document",1,0,0,0,0
Language,Area9,"additional, equipment, likewise, properly, laboratory",1,1,0,0,1
Language,Area9,"equipment, work, laboratory, properly, document",1,1,0,0,1
Language,Area9,"recommend, simulation, student, room, provide",1,1,0,0,1
Language,Area9,"regulation, document, room, equipment, laboratory",1,1,0,0,1
Language,Area9,"include, sci, nat, science, laboratory",1,1,0,0,0
Language,Area9,"instructional, projector, member, faculty, equipment",1,1,0,0,0
Language,Area9,"personnel, neat, student, time, laboratory",1,1,0,0,0
Language,Area9,"ca, continue, science, include, laboratory",1,1,0,0,0
Language,Area9,"facilitate, training, practice, regular, laboratory",1,1,0,0,0
Nursing,Area1,"participation, review, revision, stakeholder, statement",1,0,0,0,1
Nursing,Area1,"participation, review, revision, stakeholder, statement",1,0,0,0,1
Nursing,Area1,"participation, review, revision, stakeholder, statement",1,0,0,0,1
Nursing,Area1,"participation, review, revision, stakeholder, statement",1,0,0,0,1
Nursing,Area1,"participation, review, revision, stakeholder, statement",1,0,0,0,1
Nursing,Area1,"conduct, stakeholder, student, study, faculty",1,0,0,0,0
Nursing,Area1,"conduct, stakeholder, student, study, faculty",1,0,0,0,0
Nursing,Area1,"conduct, stakeholder, student, study, faculty",1,0,0,0,0
Nursing,Area1,"conduct, stakeholder, student, study, faculty",1,0,0,0,0
Nursing,Area1,"tabulate, analyze, awareness, interpret, faculty",1,0,0,0,0
Nursing,Area10,"nonserviceable, listing, report, document, provide",1,0,0,0,1
Nursing,Area10,"relationship, unending, administration, student, provide",1,0,0,0,1
Nursing,Area10,"budget, andfinancial, preparationallocation, unit, document",0,0,0,0,0
Nursing,Area10,"nonserviceable, serviceable, listing, report, equipment",1,0,0,0,1
Nursing,Area10,"personnel, improve, evaluation, result, performance",0,0,0,0,0
Nursing,Area10,"update, serviceable, equipment, nonserviceable, need",1,0,0,0,0
Nursing,Area10,"board, approve, university, handbook, student",1,0,0,0,0
Nursing,Area10,"update, serviceable, equipment, nonserviceable, need",1,0,0,0,0
Nursing,Area10,"dean, college, chart, revise, way",1,0,0,0,0
Nursing,Area10,"equipment, nonserviceable, update, serviceable, need",1,0,0,0,0
Nursing,Area2,"research, development, degree, need, faculty",1,0,0,0,1
Nursing,Area2,"create, committee, capability, line, research",0,0,0,0,0
Nursing,Area2,"create, committee, capability, line, research",0,0,0,0,0
Nursing,Area2,"create, committee, capability, line, research",0,0,0,0,0
Nursing,Area2,"create, committee, capability, line, research",0,0,0,0,0
Nursing,Area2,"faculty, dbm, overload, ruling, follow",1,0,0,0,0
Nursing,Area2,"gain, experience, report, work, clinical",1,0,0,0,0
Nursing,Area2,"phc, nursing, degree, master, faculty",1,0,0,0,0
Nursing,Area2,"membership, responsibility, faculty, encourage, professional",1,0,0,0,0
Nursing,Area2,"faculty, dbm, overload, ruling, follow",1,0,0,0,0
Nursing,Area3,"date, award, analysis, tracer, tracked",0,0,0,0,0
Nursing,Area3,"analysis, include, tracked, student, syllabus",1,0,0,0,1
Nursing,Area3,"date, award, analysis, tracer, tracked",0,0,0,0,0
Nursing,Area3,"date, award, analysis, tracer, tracked",0,0,0,0,0
Nursing,Area3,"date, award, analysis, tracer, tracked",0,0,0,0,0
Nursing,Area3,"sign, clinical, prepared, supervisor, dean",1,0,0,0,0
Nursing,Area3,"equipment, doll, stateoftheart, adequacy, nursing",1,0,0,0,0
Nursing,Area3,"contain, conduct, component, school, year",1,0,0,0,0
Nursing,Area3,"material, instructional, develop, try, faculty",1,0,0,0,0
